Product,Category,Sub-Category,Unit Size,Pack Size,Manufacturer,Manufacturer Code,Distributors,Distributor Code,EO32 Eligible ,Certifications,NY Grown & Certified Verification,Product Info,Product Formulation Statement OR NY Grown & Certified Certificate,Retail Size Packs Available,Vegan,Distribution Notes,Notes,Record Last Modified,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Vendor Contact List
"Intense Milk, Chocolate, Half Gallon","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon,9/cs,Upstate Niagara Cooperative Inc.,5131,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Milk, Chocolate, Low Fat, Gallon","Dairy, Eggs, & Cheese",Fluid Milk,Gallon,4/cs,Upstate Niagara Cooperative Inc.,5803,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Milk, Chocolate, Low Fat, 20 Quart","Dairy, Eggs, & Cheese",Fluid Milk,20 Qt. ,20 Qt.,Upstate Niagara Cooperative Inc.,5861,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Lactose Free Milk, Chocolate, 2%, Pint, Milk for Life","Dairy, Eggs, & Cheese",Fluid Milk,Pint,12/cs,Upstate Niagara Cooperative Inc.,5866,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Lactose Free Milk, Chocolate, 2%, Half Gallon, Milk for Life","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon,9/cs,Upstate Niagara Cooperative Inc.,5867,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Milk, Chocolate, Low Fat, Half Gallon","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon,9/cs,Upstate Niagara Cooperative Inc.,5870,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Milk, Strawberry, Low Fat, Half Pint","Dairy, Eggs, & Cheese",Fluid Milk,Half Pint,50/cs,Upstate Niagara Cooperative Inc.,5969,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy,US Foods Buffalo",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Lactose Free Milk, 1%, Half Pint, Milk For Life","Dairy, Eggs, & Cheese",Fluid Milk,Half Pint,12/cs,Upstate Niagara Cooperative Inc.,4170,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Lactose Free Milk, 2%, Half Gallon, Milk for Life","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon,9/cs,Upstate Niagara Cooperative Inc.,4163,"Upstate Niagara Cooperative Inc.,Latina Boulevard,Renzi Foodservice,Depew Dairy,Hudson Dairy",,Yes,NY Grown & Certified ,Upstate Niagara Cooperative Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/oSLLuxiohSZ2B0ouBNVPOQ/MwKv5G_c5d_TVm0tsiXr6L5Eyr_KSTb2qbDrctYtdya6JhqNumiJPrV76uFF-a9cAnYasXv-X5CDILR7lYlAIWr2FFb8T0aZ2HajsfP6J1YvxEWq45umI-N7Zh6F5b68UlXrxYW1fSZr5gMMexC0MfK4jWo9u5lHhqVcUS4OHESJIdzg9zq9vKI0xK7HMJGe/ByczUdXTXt8RzQGlfJ3onYJytlo3gsE4UhCFYfJfyi8),Upstate 2023.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wsNdxLYajRuA9lrCOoLNlg/HIbf7bEyGDY6yRBCs-IFPq6ibpCAO3QClJCFKqvcMTKm4wHJ1UbCNRg03mqiZR5YPFz6gdVmD7TVZz2z9atK6ArqsZ8G02CBHcoCh6VCS63IDuyroH2ORhwykxCM-BgTHQtOGxNp0ifrQ1VSeBN2kQ/fpwjcOkhUaalwg5XhUzwj2Za6QkLTWzFr7eHpJl17B8),,,,,,4/11/2024 3:29pm,,,,,,,,,
"Milk, Low Fat, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Pint ,50/cs,Westmeadow Creamery,3900,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - LF HPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SJdWZ3nzsbLJluh3-Wz7PA/uzNUufwZmUeZizvIQI4-fvvQwHC6x5QUR86HNgjVHafpggHLj1V84pYm_YUVz1TceZhgSvrgpRSWXzPLV_bsXvWiX_GJufzA1e-nww4hX3pxJzGCuvAM7xDaK5_FVxEvZIjylU_WvSvXLZ-hXMAkjkTk3mOh0mVMfcfxE8Rfor7jolZ6elgxLeeojXF_OApk6QTdquBuAxnp27U7PUWGKA/Sb6938t9qnAExl2-a-i2XIu35Hf7QvHl-BuqVSHm0aM),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Low Fat, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Quart ,16/cs,Westmeadow Creamery,3460,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - LF QT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/9EX76R4TX3EZ0q4y--gQAA/eKJOgnVw3ipm1r7lowBVj9jdlPKIgZQVuPvrwZ2GGcfwhqAtlCD09caS3qHxjUK_pvALhab4uLSRY5WSGXfsOO5TjDNrhGtFBa5smCbhgzbyItM03HFpwIVuA2oegF8IeHiuv_dcAulNhIwU9Pk4CpImZBHv3pUCC865O6Yr-YHPALOcT3z7gBrzAOx4I2JphjCRsL1yCtUgOH695KP_4A/VjtqrC278TQ-y6JOC7WKSJJL4VVyc4hlfwkEXIF-1OU),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Skim, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Pint ,50/cs,Westmeadow Creamery,3902,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - SK QT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/nT4SnjVb5SvQO6S2SdaoHA/v8tiXdlJFm1ZFiQgsRBJzrAjL9mp7l20D86uyxg1M5KbZtOzZVdWzHmr3j662HTUPVVLdb_GwitiYLiSsOyH92VlPAjbFHJTKyNuRpH6SNk0C5fdezqVaVyU16o61-4x_jdjy6qOWIMxGOcGelMjiPe27OzXzspxbhMDmvfdMBPSL4EWF2iPfUifcbVxoL0NRTh7ZR2j2_3vEBYPD5D-cA/ibsGMauvUfMTfAnFKePrPPzap2K87l2uVqfBAXKPM0w),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Chocolate, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Pint ,50/cs,Westmeadow Creamery,3888,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - CM HPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/qzA4tHmH7Ehx8CoOCUdK_w/q9IKhJlF5180CNbNSYLcAHmGNHLBL-8BkZn49xX5dvZ5kiWdtdfBTacPaeFWOGdTlgcDjizNBroee4-SD-_4-A27EUvKeM-tr9Sve_Zwz4bZIDi6VBllzb-LEOuN8iKf5tG2eHW3vTEFUE1yfYdAi23p8i-Z7rzrvyEQAqnrq24__D1ytSvYCTNxVV1rpiP4vdNw_EE59knBp7y9jAGfnw/ga-x2eYEX7f6dn7u61OezCu7fy8geT-0iTqhUprZPXM),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Chocolate, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Quart ,16/cs,Westmeadow Creamery,3889,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - CM QT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/xXl2dUhJhMYjvjkHRJJS8g/53PIpU1IRhUA6tnlt8EcMXKqD-3BF6goYJBfr9_t257Yod94L-bJmXZ7McUz8Hf80y2LLOIji4Mrft1uU131I6TV3qGLPilPObSvWphSSQOi-awwYxa-Y9Vzfe_iL5z0tEm9ehMGxWA1sHC377TJpzNKnx1ot_TfAfPJdIoaJafqRhpjzoGdPz0nAjCmWOFNLVEpmM9N1gC3CyGjcVrJMg/lqH3iB8VjfGHxgAcGx5ySKPXV5OrGbr5QPc5oxP5jtk),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Skim, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon ,9/cs,Westmeadow Creamery,3458,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - SK HG.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/9qHjoKl_m4e26qstT4UFHw/9WWisoht-w8-8EFALy6uiggpp4fEudorP3cqnYJCylmTITKikf_96XEr3CvhlN5vVOGj0Rw-D7OaEwAHpUqZXi-LsOd0wKdVh2WYShkFzSnSosBEMUCjWYW0Bao-YqxspYAw3h_jwb-OGl_9ICrDl8UEtaWDKKlOtBokcabVWSNKjw58Jsz58TuOxFTfZlMmAz-9nsgDqTQunqWTQ_e1zA/CKCNBOfUncyZmo8EXUZuP4LqR6LsbSr-UsRW3yBp7dE),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Low Fat, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon ,9/cs,Westmeadow Creamery,3457,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - LF HG.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/7sNZmP4zeeKCXfLIz2wV3w/r_2j_Gd7y30bemEoFnRj6SXi8i_jcQgswDv3VWO7IXCjVQOJhzPpxbRnOIVNJDNa3-JNDem_7_TO52ORwPAvhCHRR-xRid7Lvprl4WUoqvpR0DJPf3Da9VPUxDcL2V-GMZ-UNnOpSLV-Y__ckAxdgfzdCAbL-nQhWQ4Lpp0_UrKyT3myVSNChXpcI_uLpCSLqh7G2JF1QOCJmC7fKPsg9g/h02-7OtM6czN5DPyhJaGwpwxTKVhnxYkcnQiEI2U2LY),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Chocolate, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Half Gallon ,9/cs,Westmeadow Creamery,3886,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - CM HG.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/9QxNP_ZD4xRpvBRd9ieGzw/vHv6NQ6AKJgt0Po_ue0a7pgbKSfqt2j1S9cg-2FFSxehucliZnzGTCKJygoXfQANkNTkZ2llvx-tkj5jyANy53E3yqKhp5U4kDqp-WVs28k7sPWQiuf14IZci9hlYn_53iOnFtULiNGAw7OWpWIvIkCXwTDL5kQkWvI_1fwdVhp5c5ShLdTj2KEVIIdcjNjn0MsK2MA5dXeWLndCR9OVKQ/nk1VTjqtbC1S_wVPmZkqotQ71yQOLUbyipWe28hS1nA),,,,,4/10/2025 4:56pm,,,,,,,,,
"Milk, Skim, Smart Milk","Dairy, Eggs, & Cheese",Fluid Milk,Quart,16/cs,Westmeadow Creamery,3461,"Better Dairy,""Benz’s Food Products, Inc.""",,No,Kosher,,,L - PRODUCT FORMULATION STATEMENT - SMART MILK - SK QT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/jrwYtOq7DXV1MIhtZj82ug/YY6BeQvLuQjVi9QNOzVSaK2OL5fkmqU6WMYL0MsK8ZPfjdgmi3RDFP-DR62X0QiUTJlPAi3gCuww9SfjRdvQzwEYWJrkwOQR3du36Hwr656WtUxtngGgnZPsMUW4bxjEjZvczkeebyO7ZL6G4a7z4S-bhqEznirGqeAJ9Bvl9ehKtSJk6cDQRXhbzSNObiag05vUeONp-77uWwvNn5gr-A/t_CSEjfPc4VN_lkmeXF49me27GhSgtj4aHlQ-MczpjQ),,,,,4/10/2025 4:56pm,,,,,,,,,
"Greek Yogurt, Nonfat, 5 lbs: plain, vanilla blended","Dairy, Eggs, & Cheese",Yogurt,5 lb,3/5 lb,Chobani,"023, 024","Sysco Albany,Sysco Syracuse,Sysco Long Island,Latina Boulevard,Palmer Food Service","SUPC: 7044146
USF: 9732856 | SUPC: 7044147",Yes,NY Grown & Certified ,,ChobaniSpecs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/84ol2ou5DQ2p9YclUlG9WA/yVDGbUfgMPBgbLieDeJbISYL7HYe4yE6T9pgiEhd_mUj1aEQvnjtve4MCJ0sYxmMbcslOBJIMkCiTUPSw9M3C4VjAGgRryL44VqER800yED7-4K3KL2ixb3D3GB7cE9AAZVfJ7koBOpJQSnStT9s8vZQd8M7POv3V6Ps9EiM3Y8/RXkya5piv-ikyUTK3IaKy1-R_q9BRjNuMgANLZGhicg),,checked,,,,5/22/2025 2:13pm,,,,,,,,,
"Greek Yogurt, Nonfat, 4 oz: strawberry blended, blueberry blended, vanilla blended","Dairy, Eggs, & Cheese",Yogurt,4 oz,12/4 oz,Chobani,"753, 754, 755","Sysco Albany,Sysco Syracuse,Sysco Long Island,Latina Boulevard,Palmer Food Service,Ginsberg's Foods,Renzi Foodservice,Schrier Foodservice,US Foods Buffalo","USF: 6073922
USF: 9122779
USF: 1148421 | SUPC: 4267623",Yes,NY Grown & Certified ,,ChobaniSpecs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/84ol2ou5DQ2p9YclUlG9WA/yVDGbUfgMPBgbLieDeJbISYL7HYe4yE6T9pgiEhd_mUj1aEQvnjtve4MCJ0sYxmMbcslOBJIMkCiTUPSw9M3C4VjAGgRryL44VqER800yED7-4K3KL2ixb3D3GB7cE9AAZVfJ7koBOpJQSnStT9s8vZQd8M7POv3V6Ps9EiM3Y8/RXkya5piv-ikyUTK3IaKy1-R_q9BRjNuMgANLZGhicg),,checked,,,,5/22/2025 2:13pm,,,,,,,,,
"Greek Yogurt, Nonfat, 4 oz: strawberry blended, blueberry blended, vanilla blended, mixed berry blended","Dairy, Eggs, & Cheese",Yogurt,4 oz,24/4 oz,Chobani,"774, 775, 776, 120","Sysco Albany,Sysco Syracuse,Sysco Long Island,Latina Boulevard,Palmer Food Service,Ginsberg's Foods,Renzi Foodservice,Schrier Foodservice,US Foods Buffalo",,Yes,NY Grown & Certified ,,ChobaniSpecs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/84ol2ou5DQ2p9YclUlG9WA/yVDGbUfgMPBgbLieDeJbISYL7HYe4yE6T9pgiEhd_mUj1aEQvnjtve4MCJ0sYxmMbcslOBJIMkCiTUPSw9M3C4VjAGgRryL44VqER800yED7-4K3KL2ixb3D3GB7cE9AAZVfJ7koBOpJQSnStT9s8vZQd8M7POv3V6Ps9EiM3Y8/RXkya5piv-ikyUTK3IaKy1-R_q9BRjNuMgANLZGhicg),,checked,,,,5/22/2025 2:13pm,,,,,,,,,
"Greek Yogurt, Nonfat, 5.3 oz: plain, vanilla, strawberry, blueberry, peach, raspberry, pomegranate, black cherry, blackberry","Dairy, Eggs, & Cheese",Yogurt,5.3 oz,12/case,Chobani,"001, 002, 004, 005, 006, 012, 015, 016, 278","Sysco Albany,Sysco Syracuse,Sysco Long Island,Latina Boulevard,Palmer Food Service,Ginsberg's Foods,Renzi Foodservice,Schrier Foodservice,US Foods Buffalo",,Yes,NY Grown & Certified ,,ChobaniSpecs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/84ol2ou5DQ2p9YclUlG9WA/yVDGbUfgMPBgbLieDeJbISYL7HYe4yE6T9pgiEhd_mUj1aEQvnjtve4MCJ0sYxmMbcslOBJIMkCiTUPSw9M3C4VjAGgRryL44VqER800yED7-4K3KL2ixb3D3GB7cE9AAZVfJ7koBOpJQSnStT9s8vZQd8M7POv3V6Ps9EiM3Y8/RXkya5piv-ikyUTK3IaKy1-R_q9BRjNuMgANLZGhicg),,checked,,,,5/22/2025 2:13pm,,,,,,,,,
"Greek Yogurt, Nonfat, 32 oz: plain, vanilla, strawberry blended","Dairy, Eggs, & Cheese",Yogurt,32 oz,6/case,Chobani,"013, 014, 026","Sysco Albany,Sysco Syracuse,Sysco Long Island,Latina Boulevard,Palmer Food Service,Ginsberg's Foods,Renzi Foodservice,Schrier Foodservice,US Foods Buffalo",,Yes,NY Grown & Certified ,,ChobaniSpecs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/84ol2ou5DQ2p9YclUlG9WA/yVDGbUfgMPBgbLieDeJbISYL7HYe4yE6T9pgiEhd_mUj1aEQvnjtve4MCJ0sYxmMbcslOBJIMkCiTUPSw9M3C4VjAGgRryL44VqER800yED7-4K3KL2ixb3D3GB7cE9AAZVfJ7koBOpJQSnStT9s8vZQd8M7POv3V6Ps9EiM3Y8/RXkya5piv-ikyUTK3IaKy1-R_q9BRjNuMgANLZGhicg),,checked,,,,5/22/2025 2:13pm,,,,,,,,,
