id,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
10118,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10119,40.663444096878,-73.997008877198,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10120,40.841895755288,-73.924641238346,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10121,42.129301918105,-76.821970287953,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10122,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10123,43.496952843319,-73.776248254679,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10124,42.07167659607,-73.58797879614,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10125,40.659679694565,-73.773604725162,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10126,40.654410446513,-73.634367552507,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10127,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10128,40.647141229419,-74.022635037924,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10129,43.246013585116,-77.324428527397,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10130,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10131,40.664287771282,-73.931618903294,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10132,40.902456639291,-73.78939047278,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10133,42.075344550582,-76.801579882074,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10134,40.716638427363,-73.998790857189,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10135,40.803600689719,-73.922050239223,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10136,43.288586056779,-75.615410886431,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10137,42.167533553137,-78.999180339891,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10138,42.43878696734,-79.071078692875,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10139,40.647141229419,-74.022635037924,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10140,40.721931899665,-73.919181697992,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10141,41.337375151732,-74.159263535367,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10142,40.647141229419,-74.022635037924,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10143,42.906420743564,-77.753420948784,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10144,41.458122790524,-74.095837309666,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10145,40.810240096877,-73.887358106361,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10146,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10147,40.668051005141,-73.994309201747,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10148,40.698296941233,-73.924065344373,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10149,40.69748501596,-73.68241453391,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10150,42.643629960122,-76.943914869844,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
10151,40.652296928526,-74.005498595258,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10152,40.647141229419,-74.022635037924,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10153,42.870349532456,-78.750331422177,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10154,40.613794615948,-73.754284150925,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10155,40.712347581955,-73.939317219002,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10156,43.184471532153,-77.680400330893,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10157,43.10843245282,-77.448772032228,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10158,40.617324062524,-73.999433880377,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10159,43.217185881022,-73.488295618772,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10160,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10161,42.376483826936,-73.428969780193,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10162,40.72567118867,-73.4283262306,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10163,40.712016202359,-73.937471224279,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10164,40.72419303687,-73.953952925478,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10165,42.09466648289,-76.076270882899,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
