company_name,street_address,city,state,zip_code,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic,address,latitude,longitude
"Del Caribe Meat, Inc",1212 Brook Avenue,Bronx,NY,10456,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1212 Brook Avenue, Bronx, NY 10456",40.831310944445,-73.909104163078
Delarm & Treadway Auction Services,PO Box 67,Antwerp,NY,13608,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"PO Box 67, Antwerp, NY 13608",44.236273,-75.624084
Delicious Specialty Foods Corp.,1698 Main Street 1st Floor,Peekskill,NY,10566,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1698 Main Street 1st Floor, Peekskill, NY 10566",41.293725553621,-73.907404087277
"Dim Sum Factory, Inc.",15011 14th Avenue,Whitestone,NY,11357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"15011 14th Avenue, Whitestone, NY 11357",40.788960071939,-73.813536465511
"Dim Sum Factory, Inc.",4235 Main Street Unit CC,Flushing,NY,11355,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4235 Main Street Unit CC, Flushing, NY 11355",40.75437951929,-73.827798823617
"Dino's Sausage & Meat Co., Inc.",722 Catherine Street,UTICA,NY,13501,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"722 Catherine Street, UTICA, NY 13501",43.099572298104,-75.216257065311
"Diverse Food Products, LLC",8242 Loop Road,Baldwinsville,NY,13027,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"8242 Loop Road, Baldwinsville, NY 13027",43.170182626624,-76.302623897948
Double K Livestock Sales Inc.,3180 Turnpike Road,Sennett,NY,13021,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"3180 Turnpike Road, Sennett, NY 13021",42.995722232381,-76.529850285093
Double L Ranch Inc.,7181 Dunnsville Road,Altamont,NY,12009,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"7181 Dunnsville Road, Altamont, NY 12009",42.746402847988,-74.015209332966
"Down the Road Butchery, LLC",174 Battenfield Road,Milan,NY,12571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"174 Battenfield Road, Milan, NY 12571",41.98068740299,-73.804697501042
DuFour Gourmet,4337 9th Street,Long Island City,NY,11101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4337 9th Street, Long Island City, NY 11101",40.751347228368,-73.950595132333
Dudley Poultry Company,910 State Route 245,Middlesex,NY,14507,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"910 State Route 245, Middlesex, NY 14507",42.718981881152,-77.264452690121
"E123 Enterprises, LLC",355 Food Center Drive E3,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"355 Food Center Drive E3, Bronx, NY 10474",40.806204912953,-73.871041997208
Eagle Bridge Custom Meat and Smokehouse,139 Center Road,Eagle Bridge,NY,12057,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"139 Center Road, Eagle Bridge, NY 12057",42.960883380481,-73.392152239612
"Edelweiss Meat Company, LLC",12 Old Myers Drive,Albany,NY,12205,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"12 Old Myers Drive, Albany, NY 12205",42.690463225002,-73.783222337516
"Elk Provision Co., Inc.",1260 Clinton Street,Buffalo,NY,14206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1260 Clinton Street, Buffalo, NY 14206",42.8754567767,-78.828658734277
Empire Custom Processing LLC,430 NYS Route 8,Bridgewater,NY,13313,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"430 NYS Route 8, Bridgewater, NY 13313",42.884395338075,-75.249735459336
Empire Livestock LLC – Bath,7418 Route 415 North,Bath,NY,14810,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"7418 Route 415 North, Bath, NY 14810",42.359977378956,-77.354173021353
Empire Livestock LLC – Central Bridge,872 Route 30A (PO Box 279),Central Bridge,NY,12035,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"872 Route 30A (PO Box 279), Central Bridge, NY 12035",42.727777496124,-74.335843605854
Empire Livestock LLC – Cherry Creek,6732 Pickup Hill Road,Cherry Creek,NY,14723,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"6732 Pickup Hill Road, Cherry Creek, NY 14723",42.292421488059,-79.11349108473
Empire Livestock LLC – Dryden,49 East Main Street,Dryden,NY,13053,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"49 East Main Street, Dryden, NY 13053",42.490778671976,-76.292508642179
Empire Livestock LLC – Pavilion,357 Lake Street,Pavilion,NY,14525,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"357 Lake Street, Pavilion, NY 14525",42.931505779487,-78.019117535229
Empire Livestock LLC – Vernon,11 Ruth Street,Vernon,NY,13476,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"11 Ruth Street, Vernon, NY 13476",43.076810894104,-75.538870215201
Empire Livestock Marketing (Bath),7418 Route 415 North,Bath,NY,14810,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"7418 Route 415 North, Bath, NY 14810",42.359977378956,-77.354173021353
Empire Livestock Marketing (Central Bridge),872 Route 30A (PO Box 279),Central Bridge,NY,12035,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"872 Route 30A (PO Box 279), Central Bridge, NY 12035",42.727777496124,-74.335843605854
Empire Livestock Marketing (Vernon),11 Ruth Street,Vernon,NY,13476,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"11 Ruth Street, Vernon, NY 13476",43.076810894104,-75.538870215201
"Espuna, LLC",20 Harrison Street,Gloversville,NY,12078,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20 Harrison Street, Gloversville, NY 12078",43.03399830034,-74.354563571981
"European Food Market, LLC",364 Ryer Road,Narrowsburg,NY,12764,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"364 Ryer Road, Narrowsburg, NY 12764",41.59662946458,-74.923726563251
F-16 Custom Cuts LLC,355 Food Center Drive Unit F16,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"355 Food Center Drive Unit F16, Bronx, NY 10474",40.806204912953,-73.871041997208
"Farmingdale Meat Market, Inc., DBA Main Street Wholesale Meats",210 Main Street,Farmingdale,NY,11735,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"210 Main Street, Farmingdale, NY 11735",40.733580314666,-73.446070655814
"Finger Food Products, LLC",6400 Inducon Drive West,Sanborn,NY,14132,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6400 Inducon Drive West, Sanborn, NY 14132",43.111908154675,-78.918087668874
"Five Goods, Inc.",239 54th Avenue,Long Island City,NY,11101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"239 54th Avenue, Long Island City, NY 11101",40.740710215968,-73.958563810251
"Five Star Food Products, Inc.",999 South Oyster Bay Road Building 400,Bethpage,NY,11714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"999 South Oyster Bay Road Building 400, Bethpage, NY 11714",40.750538402597,-73.501902095334
"Five Star Meat, Inc., DBA Emir Halal",69-80 75th Street,Middle Village,NY,11379,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"69-80 75th Street, Middle Village, NY 11379",40.707453010509,-73.87576411075
"Fleish Yavesh, Inc.",11 Prospect Ave.,Hewlett,NY,11557,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"11 Prospect Ave., Hewlett, NY 11557",40.648544375155,-73.688436007913
Flushing Meat,306 Stagg Street,Brooklyn,NY,11206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"306 Stagg Street, Brooklyn, NY 11206",40.710074483573,-73.93683088655
Ford Brothers Wholesale Meats Inc,9129 Rt 219,West Valley,NY,14171,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"9129 Rt 219, West Valley, NY 14171",42.398011559806,-78.67866291603
"Forest Pork Store, Inc.",6639 Forest Avenue,Ridgewood,NY,11385,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6639 Forest Avenue, Ridgewood, NY 11385",40.706679059436,-73.902876952543
Foss Livestock Buying Station LLC,10703 Tinkham Road,Darien Center,NY,14040,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"10703 Tinkham Road, Darien Center, NY 14040",42.894757765878,-78.367295727561
"Frank Wardynski & Sons, Inc.",336 Peckham Street,Buffalo,NY,14206,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"336 Peckham Street, Buffalo, NY 14206",42.887910822145,-78.841957154129
"G & L Meat Company, Inc.",111 Gateway Park Drive,North Syracuse,NY,13212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"111 Gateway Park Drive, North Syracuse, NY 13212",43.123534501133,-76.129144279896
"GB Green Gastronome, LLC",220-13 Jamaica Avenue,Queens Village,NY,11428,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"220-13 Jamaica Avenue, Queens Village, NY 11428",40.719084734031,-73.734234429598
Gabriele Properties Holding LLC,255 Mohawk Avenue,Scotia,NY,12302,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"255 Mohawk Avenue, Scotia, NY 12302",42.827433896933,-73.967331884955
"Garden Manor Farms, Inc.",355 Food Center Unit F-11,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"355 Food Center Unit F-11, Bronx, NY 10474",40.806204912953,-73.871041997208
"Gene Wood's Auction Service, Inc.",5608 Short Street,Cincinnatus,NY,13040,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"5608 Short Street, Cincinnatus, NY 13040",42.546391070032,-75.905578049488
Gentner Commission Market Inc.,341 West Main Street,Springville,NY,14141,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"341 West Main Street, Springville, NY 14141",42.509099038814,-78.680141634734
Glatt Boy's Inc.,355 Food Center Drive E-14,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"355 Food Center Drive E-14, Bronx, NY 10474",40.806204912953,-73.871041997208
Glazier Packing Company Inc.,7170 US HIghway 11,Potsdam,NY,13676,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7170 US HIghway 11, Potsdam, NY 13676",44.648746547774,-75.049981209821
Golden Krust Patties Inc.,3958 Park Avenue,Bronx,NY,10457,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3958 Park Avenue, Bronx, NY 10457",40.841723280599,-73.902355514624
"Golden Meat Co., LLC","355 Food Center Drive Units #D22, D23, D24",Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"355 Food Center Drive Units #D22, D23, D24, Bronx, NY 10474",40.806204912953,-73.871041997208
"Gondola Brand Macaroni Products, Inc",1985 Niagara Street,Buffalo,NY,14207,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1985 Niagara Street, Buffalo, NY 14207",42.938068421724,-78.904006704173
"Gourmet Boutique, LLC",144-02 158th Street,Jamaica,NY,11434,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"144-02 158th Street, Jamaica, NY 11434",40.665603190338,-73.779077448099
"Gourmet Boutique, LLC SAT",165-35 145th Drive,Jamaica,NY,11434,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"165-35 145th Drive, Jamaica, NY 11434",40.662210103008,-73.775148982608
Green Top Farms,324 Maujer Street,Brooklyn,NY,11206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"324 Maujer Street, Brooklyn, NY 11206",40.712023422615,-73.936998920536
Grizzly's Custom Cutting Inc.,10042 South River Road,Hunt,NY,14846,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"10042 South River Road, Hunt, NY 14846",42.540225301408,-78.030291126672
Grossglockner Inc.,2640 Brickyard Road,Canandaiqua,NY,14424,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2640 Brickyard Road, Canandaiqua, NY 14424",42.902736835794,-77.304365231719
"Grossglockner, Inc.",5560 Airport Road,Canadaigua,NY,14424,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"5560 Airport Road, Canadaigua, NY 14424",42.912225521527,-77.30760113428
HAPPY VALLEY MEAT CO.,185 Van Dyke Street,Brooklyn,NY,11222,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"185 Van Dyke Street, Brooklyn, NY 11222",40.677590389061,-74.017639450874
HM Halal Munchies Corp.,300 Michael Drive,Syosset,NY,11791,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"300 Michael Drive, Syosset, NY 11791",40.803340449611,-73.516077641435
HTE Food Corp.,1510  130th Street Unit C,College Point,NY,11356,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1510  130th Street Unit C, College Point, NY 11356",40.784505134885,-73.838619668545
"HVFG, LLC",346 Airport Road,Mongaup Valley,NY,12762,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"346 Airport Road, Mongaup Valley, NY 12762",41.696392142038,-74.798518286784
"Ham Slices, LLC",600 East 132nd Street Unit B,Bronx,NY,10454,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"600 East 132nd Street Unit B, Bronx, NY 10454",40.802835947232,-73.92025355187
Hamilton Meats Supply Inc.,1451 Pennsylvania Avenue,Pine City,NY,14871,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1451 Pennsylvania Avenue, Pine City, NY 14871",42.041774904304,-76.858309503431
Hanzlian's Sausage & Deli,2351 Genesee Street,Cheektowaga,NY,14225,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2351 Genesee Street, Cheektowaga, NY 14225",42.919150008994,-78.796199915088
Hartland Abattoir Corp,7968 Ridge Road,Gasport,NY,14067,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"7968 Ridge Road, Gasport, NY 14067",43.240187982647,-78.589204413651
"Hearty Acquisitions, LLC",276 Stagg Street,Brooklyn,NY,11206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"276 Stagg Street, Brooklyn, NY 11206",40.70995408711,-73.938120717684
"Heinsen Products, Inc.",320 Casanova Street,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"320 Casanova Street, Bronx, NY 10474",40.806700580443,-73.888204005248
Hempstead Foodservice Inc.,52 Chasner Street,Hempstead,NY,11550,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"52 Chasner Street, Hempstead, NY 11550",40.703331908571,-73.629149392841
